goos: darwin
goarch: arm64
pkg: github.com/Gaudeamus/syncMapGeneric
cpu: Apple M1 Pro
BenchmarkSwapMostlyMisses/*syncmap.SyncMap[int,int]-10       	 1965972	       619.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkSwapMostlyMisses/*syncmap.SyncMap[int,int]-10       	 1866540	       555.4 ns/op	     116 B/op	       5 allocs/op
BenchmarkSwapMostlyMisses/*syncmap.SyncMap[int,int]-10       	 2185928	       558.5 ns/op	     116 B/op	       5 allocs/op
BenchmarkCompareAndSwapCollision/*syncmap.SyncMap[int,int]-10         	122505795	        13.54 ns/op	       1 B/op	       0 allocs/op
BenchmarkCompareAndSwapCollision/*syncmap.SyncMap[int,int]-10         	80531996	        14.23 ns/op	       2 B/op	       0 allocs/op
BenchmarkCompareAndSwapCollision/*syncmap.SyncMap[int,int]-10         	124929397	        13.37 ns/op	       2 B/op	       0 allocs/op
BenchmarkCompareAndSwapCollision/*syncmap.SyncMap[int,int]-10         	87529920	        12.35 ns/op	       1 B/op	       0 allocs/op
BenchmarkCompareAndSwapCollision/*syncmap.SyncMap[int,int]-10         	75991426	        16.43 ns/op	       2 B/op	       0 allocs/op
BenchmarkCompareAndSwapCollision/*syncmap.SyncMap[int,int]-10         	124679895	        14.35 ns/op	       2 B/op	       0 allocs/op
BenchmarkCompareAndSwapCollision/*syncmap.SyncMap[int,int]-10         	113196907	        14.80 ns/op	       1 B/op	       0 allocs/op
BenchmarkCompareAndSwapCollision/*syncmap.SyncMap[int,int]-10         	100000000	        11.00 ns/op	       1 B/op	       0 allocs/op
BenchmarkCompareAndSwapCollision/*syncmap.SyncMap[int,int]-10         	100000000	        10.46 ns/op	       1 B/op	       0 allocs/op
BenchmarkCompareAndSwapCollision/*syncmap.SyncMap[int,int]-10         	66094610	        15.58 ns/op	       2 B/op	       0 allocs/op
BenchmarkCompareAndSwapNoExistingKey/*syncmap.SyncMap[int,int]-10     	1000000000	         2.548 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapNoExistingKey/*syncmap.SyncMap[int,int]-10     	512487979	         2.450 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapNoExistingKey/*syncmap.SyncMap[int,int]-10     	1000000000	         2.422 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapNoExistingKey/*syncmap.SyncMap[int,int]-10     	1000000000	         2.416 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapNoExistingKey/*syncmap.SyncMap[int,int]-10     	1000000000	         2.374 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapNoExistingKey/*syncmap.SyncMap[int,int]-10     	1000000000	         2.336 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapNoExistingKey/*syncmap.SyncMap[int,int]-10     	1000000000	         2.309 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapNoExistingKey/*syncmap.SyncMap[int,int]-10     	519538903	         2.386 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapNoExistingKey/*syncmap.SyncMap[int,int]-10     	500021614	         2.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapNoExistingKey/*syncmap.SyncMap[int,int]-10     	1000000000	         2.390 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapValueNotEqual/*syncmap.SyncMap[int,int]-10     	548239770	         2.152 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapValueNotEqual/*syncmap.SyncMap[int,int]-10     	556485930	         2.467 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapValueNotEqual/*syncmap.SyncMap[int,int]-10     	304918880	         4.122 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapValueNotEqual/*syncmap.SyncMap[int,int]-10     	590319012	         2.049 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapValueNotEqual/*syncmap.SyncMap[int,int]-10     	322111728	         3.770 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapValueNotEqual/*syncmap.SyncMap[int,int]-10     	533838799	         4.132 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapValueNotEqual/*syncmap.SyncMap[int,int]-10     	582002658	         2.287 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapValueNotEqual/*syncmap.SyncMap[int,int]-10     	529871992	         2.169 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapValueNotEqual/*syncmap.SyncMap[int,int]-10     	506831274	         4.201 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapValueNotEqual/*syncmap.SyncMap[int,int]-10     	590758461	         3.872 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndSwapMostlyHits/*syncmap.SyncMap[int,int]-10        	61821811	        21.86 ns/op	      21 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyHits/*syncmap.SyncMap[int,int]-10        	59367979	        20.05 ns/op	      21 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyHits/*syncmap.SyncMap[int,int]-10        	55683376	        20.66 ns/op	      21 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyHits/*syncmap.SyncMap[int,int]-10        	61022895	        20.61 ns/op	      21 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyHits/*syncmap.SyncMap[int,int]-10        	64018638	        19.34 ns/op	      21 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyHits/*syncmap.SyncMap[int,int]-10        	61046824	        19.25 ns/op	      21 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyHits/*syncmap.SyncMap[int,int]-10        	56993136	        20.31 ns/op	      21 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyHits/*syncmap.SyncMap[int,int]-10        	59396016	        18.33 ns/op	      21 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyHits/*syncmap.SyncMap[int,int]-10        	59573430	        18.76 ns/op	      21 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyHits/*syncmap.SyncMap[int,int]-10        	67799004	        21.24 ns/op	      21 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyMisses/*syncmap.SyncMap[int,int]-10      	183118845	         6.676 ns/op	       8 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyMisses/*syncmap.SyncMap[int,int]-10      	174254302	         6.317 ns/op	       8 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyMisses/*syncmap.SyncMap[int,int]-10      	195093447	         6.031 ns/op	       8 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyMisses/*syncmap.SyncMap[int,int]-10      	190815506	         9.555 ns/op	       8 B/op	       0 allocs/op
BenchmarkCompareAndSwapMostlyMisses/*syncmap.SyncMap[int,int]-10      	95459385	        12.85 ns/op	       8 B/op	       0 allocs/op
BenchmarkCompareAndSwapMostlyMisses/*syncmap.SyncMap[int,int]-10      	195602276	         6.527 ns/op	       8 B/op	       0 allocs/op
BenchmarkCompareAndSwapMostlyMisses/*syncmap.SyncMap[int,int]-10      	182161033	         6.260 ns/op	       8 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyMisses/*syncmap.SyncMap[int,int]-10      	181799392	         7.255 ns/op	       8 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyMisses/*syncmap.SyncMap[int,int]-10      	177480333	         6.491 ns/op	       8 B/op	       1 allocs/op
BenchmarkCompareAndSwapMostlyMisses/*syncmap.SyncMap[int,int]-10      	183212610	         6.493 ns/op	       8 B/op	       1 allocs/op
BenchmarkCompareAndDeleteCollision/*syncmap.SyncMap[int,int]-10       	85678844	        13.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkCompareAndDeleteCollision/*syncmap.SyncMap[int,int]-10       	75558228	        13.28 ns/op	       0 B/op	       0 allocs/op
